Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2523,1,Drinking Fountain,,Drinking Fountain,,ASHBRIDGES BAY PARK - Drinking Fountain (  1)
2524,1,Drinking Fountain,,Drinking Fountain,,ASHBRIDGES BAY PARK - Drinking Fountain (  2)
29193,1,Firepit,,Firepit,,ASHBRIDGES BAY PARK - Firepit
32210,1,Parking Lot,,Outdoor Parking Lot,,ASHBRIDGES BAY PARK - Parking Lot
27944,1,Picnic Site,picnic,Picnic Site,,ASHBRIDGES BAY PARK - Picnic Site (  1)
27945,1,Picnic Site,picnic,Picnic Site,,ASHBRIDGES BAY PARK - Picnic Site (  2)
31265,1,Washroom Facility,,Washroom Building,,ASHBRIDGES BAY PARK - Washroom Building and Garage
47022,1,Outdoor Shower,,Outdoor Shower,,ASHBRIDGES BAY PARK - Washroom Building and Garage - Outdoor Shower
21787,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL (  1)
21798,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL (  2)
21805,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL (  4)
21807,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL (  6)
21808,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL (  7)
21809,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL (  8)
21788,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 10)
21790,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 12)
21791,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 13)
21792,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 14)
21793,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 15)
21794,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 16)
21795,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 17)
21796,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 18)
21799,1,Bike Trail,,Bike Trail,,ASHBRIDGES BAY PARK TRAIL ( 20)
23246,1,Bike Trail,,Bike Trail,,MARTIN GOODMAN TRAIL (  1)
2462,2,Drinking Fountain,,Drinking Fountain,,BLUFFER'S PARK - Drinking Fountain (  1)
2463,2,Drinking Fountain,,Drinking Fountain,,BLUFFER'S PARK - Drinking Fountain (  2)
2464,2,Drinking Fountain,,Drinking Fountain,,BLUFFER'S PARK - Drinking Fountain (  3)
58402,2,Outdoor Shower,,Outdoor Shower,,BLUFFER'S PARK - Outdoor Shower
32223,2,Parking Lot,,Outdoor Parking Lot,,BLUFFER'S PARK - Parking Lot (  1)
32222,2,Parking Lot,,Outdoor Parking Lot,,BLUFFER'S PARK - Parking Lot (  2)
32221,2,Parking Lot,,Outdoor Parking Lot,,BLUFFER'S PARK - Parking Lot (  3)
32220,2,Parking Lot,,Outdoor Parking Lot,,BLUFFER'S PARK - Parking Lot (  4)
44903,2,Parking Lot,,Outdoor Parking Lot,,BLUFFER'S PARK - Parking Lot (  5)
4796,2,Picnic Site,picnic,Picnic Site,,BLUFFER'S PARK - Picnic Site
49702,2,Picnic Site,picnic,Picnic Site,,BLUFFER'S PARK - Picnic Site (  2)
17042,2,Beach,,Beach,,BLUFFER'S PARK BEACH
29300,2,Washroom Facility,,Washroom Building,,BLUFFER'S PARK EAST WASHROOM
29300,2,Changeroom Facility,,Changeroom Building,,BLUFFER'S PARK EAST WASHROOM
21998,2,Bike Trail,,Bike Trail,,BLUFFER'S PARK TRAIL (  1)
42744,3,Children's Garden,,Children's Garden,,EDGEHILL HOUSE - Children's Garden
29854,3,Kitchen,room,Kitchen,,EDGEHILL HOUSE - Kitchen (  2)
2219,3,Drinking Fountain,,Drinking Fountain,,JAMES GARDENS - Drinking Fountain (  1)
18682,3,Drinking Fountain,,Drinking Fountain,,JAMES GARDENS - Drinking Fountain (  2)
57360,3,Pond,,Open Water,,JAMES GARDENS - Open Water
32367,3,Parking Lot,,Outdoor Parking Lot,,JAMES GARDENS - Parking Lot
13567,3,Greenhouse/Conservatory,,Greenhouse/Conservatory,,JAMES GARDENS RES. UNIT COACH HOUSE AND GREENHOUSE
29853,3,Kitchen,room,Kitchen,,JAMES GARDENS RES. UNIT COACH HOUSE AND GREENHOUSE - Kitchen (  1)
29542,3,Washroom Facility,,Washroom Building,,JAMES GARDENS WASHROOM
18669,4,Drinking Fountain,,Drinking Fountain,,COLONEL DANFORTH PARK - Drinking Fountain
48922,4,Dogs Off-Leash Area,,Off Leash Area,,COLONEL DANFORTH PARK - Off Leash Area
57316,4,Pond,,Open Water,,COLONEL DANFORTH PARK - Open Water
32248,4,Parking Lot,,Outdoor Parking Lot,,COLONEL DANFORTH PARK - Parking Lot (  1)
32247,4,Parking Lot,,Outdoor Parking Lot,,COLONEL DANFORTH PARK - Parking Lot (  2)
28287,4,Picnic Site,picnic,Picnic Site,,COLONEL DANFORTH PARK - Picnic Site (  1)
28288,4,Picnic Site,picnic,Picnic Site,,COLONEL DANFORTH PARK - Picnic Site (  2)
28289,4,Picnic Site,picnic,Picnic Site,,COLONEL DANFORTH PARK - Picnic Site (  3)
28290,4,Picnic Site,picnic,Picnic Site,,COLONEL DANFORTH PARK - Picnic Site (  4)
28291,4,Picnic Site,picnic,Picnic Site,,COLONEL DANFORTH PARK - Picnic Site (  5)
45442,4,Washroom Facility,,Washroom Building,,COLONEL DANFORTH PARK - Washroom Building
40318,4,Bike Trail,,Bike Trail,,COLONEL DANFORTH PARK TRAIL (  1)
40319,4,Bike Trail,,Bike Trail,,COLONEL DANFORTH PARK TRAIL (  2)
22804,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  3)
22815,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  4)
22820,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  5)
22821,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  6)
22822,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  7)
22823,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  8)
22824,4,Bike Trail,,Bike Trail,,HIGHLAND CREEK TRAIL (  9)
21939,5,Bike Trail,,Bike Trail,,BLACK CREEK TRAIL ( 14)
21940,5,Bike Trail,,Bike Trail,,BLACK CREEK TRAIL ( 15)
21941,5,Bike Trail,,Bike Trail,,BLACK CREEK TRAIL ( 16)
21942,5,Bike Trail,,Bike Trail,,BLACK CREEK TRAIL ( 17)
21943,5,Bike Trail,,Bike Trail,,BLACK CREEK TRAIL ( 18)
21947,5,Bike Trail,,Bike Trail,,BLACK CREEK TRAIL ( 21)
4606,5,Firepit,,Firepit,,DERRYDOWNS PARK - Firepit
32259,5,Parking Lot,,Outdoor Parking Lot,,DERRYDOWNS PARK - Parking Lot
29359,5,Washroom Facility,,Washroom Building,,DERRYDOWNS PARK - Washroom Building
22512,6,Bike Trail,,Bike Trail,,ETOBICOKE CREEK TRAIL ( 10)
22513,6,Bike Trail,,Bike Trail,,ETOBICOKE CREEK TRAIL ( 11)
2805,6,Dogs Off-Leash Area,,Off Leash Area,,MARIE CURTIS PARK - Off Leash Area
32392,6,Parking Lot,,Outdoor Parking Lot,,MARIE CURTIS PARK - Parking Lot (  1)
32390,6,Parking Lot,,Outdoor Parking Lot,,MARIE CURTIS PARK - Parking Lot (  2)
32391,6,Parking Lot,,Outdoor Parking Lot,,MARIE CURTIS PARK - Parking Lot (  3)
4073,6,Picnic Site,picnic,Picnic Site,,MARIE CURTIS PARK - Picnic Site (  1)
4074,6,Picnic Site,picnic,Picnic Site,,MARIE CURTIS PARK - Picnic Site (  2)
33808,6,Playground,,Playground Site,,MARIE CURTIS PARK - Playground
36542,6,Splash Pad,,Splash/Spray Pad,,MARIE CURTIS PARK - Splash/Spray Pad
4076,6,Wading Pool,,Wading Pool,,MARIE CURTIS PARK - Wading Pool
29570,6,Washroom Facility,,Washroom Building,,MARIE CURTIS PARK - Washroom Building
17083,6,Beach,,Beach,,MARIE CURTIS PARK BEACH
13591,6,Washroom Facility,,Washroom Building,,MARIE CURTIS PARK CONCESSION
13591,6,Fieldhouse,,Fieldhouse,,MARIE CURTIS PARK CONCESSION
24065,6,Bike Trail,,Bike Trail,,WATERFRONT TRAIL (  2)
24076,6,Bike Trail,,Bike Trail,,WATERFRONT TRAIL (  3)
24077,6,Bike Trail,,Bike Trail,,WATERFRONT TRAIL (  4)
24078,6,Bike Trail,,Bike Trail,,WATERFRONT TRAIL (  5)
24079,6,Bike Trail,,Bike Trail,,WATERFRONT TRAIL (  6)
48149,7,Auditorium,gym,Auditorium - A,A,BROADLANDS COMMUNITY CENTRE - Auditorium
29782,7,Kitchen,room,Kitchen - B,B,BROADLANDS COMMUNITY CENTRE - Kitchen
47935,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  1)
47936,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  2)
48150,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  3)
48151,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  4)
14265,7,Outdoor Dry Pad,ice,Outdoor Dry Pad - A,A,BROADLANDS COMMUNITY CENTRE - Outdoor Artificial Ice Rink
4778,7,Outdoor Pool,pool,Outdoor Pool Tank - C,C,BROADLANDS COMMUNITY CENTRE - Outdoor Pool Tank
43575,7,Outdoor Rink,ice,Outdoor Ice Pad,,BROADLANDS PARK - Outdoor Ice Pad
41105,9,Bottle Filling Station,,Bottle Filling Station,,EGLINTON FLATS - Bottle Filling Station
2336,9,Drinking Fountain,,Drinking Fountain,,EGLINTON FLATS - Drinking Fountain (  1)
2337,9,Drinking Fountain,,Drinking Fountain,,EGLINTON FLATS - Drinking Fountain (  2)
2338,9,Drinking Fountain,,Drinking Fountain,,EGLINTON FLATS - Drinking Fountain (  3)
17752,9,Sport Field,sport,Football Field - Premier,P,EGLINTON FLATS - Football Field
18282,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  1)
18284,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  2)
18276,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  3)
18277,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  4)
18283,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  5)
18275,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  6)
18278,9,Multipurpose Field,,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  7)
