Location ID,Parent Location ID,Location Name,Location Type,Accessibility,Intersection,TTC Information,District,Street No,Street No Suffix,Street Name,Street Type,Street Direction,Postal Code,Description
1,1,ASHBRIDGES BAY PARK,park,,,Travel to Woodbine Station.  Board the 92 Woodbine bus southbound.  Exit at Asbridges Bay Park.,Waterfront,1561,,LAKE SHORE,BLVD,E,,"Ashbridges Bay Park is located in a beautiful area on the waterfront in the east end of Toronto. It was named after Sarah Ashbridge, a widow and British loyalist from Philadelphia who settled here in the 1790's and obtained a Crown Land Grant to start her own farm. Ashbridges Bay was once part of the large sand dune chain spanning the majority of the Toronto Harbour. These dunes were the result of sediment from the Scarborough Bluffs being deposited by the currents from Lake Ontario.
<br/>
Portions of The Martin Goodman and Waterfront trails pass through the north end of Ashbridges Bay Park. These paved and hard-packed walking trails allow for accessibility as do the park's multiple parking lots. This park is also home to Woodbine Beach, one of Toronto's <a href=""http://www.toronto.ca/parks/beaches/map.htm"">eight blue flag beaches</a>. Take a stroll along the Woodbine Beach Boardwalk, relax on the wide sandy beach, or enjoy a refreshing swim in Lake Ontario. Picnics, bird watching and hiking are all popular activities available at Ashbridges Bay. There is also a <a href=""/parks/prd/facilities/complex/2421/"">skateboard park</a> nearby.
<br><br>
<strong>Special Features</strong><br>
SCENIC VIEW - The Ashbridges Bay spit is a great spot to watch a sunset.<br>
WILDLIFE - Listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>, and a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>.
<br /><br />Other parks in the area:

<ul>
<li><a href=""http://www1.toronto.ca/parks/prd/facilities/complex/2421/index.htm"">Beach Skatepark</a></li>
<li><a href=""http://www1.toronto.ca/parks/prd/facilities/complex/431/index.htm"">Woodbine Park</a></li>
</ul>"
2,2,BLUFFER'S PARK AND BEACH,park,,,Travel to Warden Station. Board the 102D Markham Road towards Mount Joy GO Station. Exit the bus at Brimley Road. Walk south on Brimley to Bluffer's Park.,Scarborough,1,,BRIMLEY,RD,S,,"Bluffs stretch for about 14 <abbr title=""Kilometres"" alt=""Kilometres"">km</abbr> along the Lake Ontario shore, from the Eastern Beaches of Toronto in the west, to West Hill in the east. The Scarborough Bluffs are a significant geological feature resulting from the accumulation of sedimentary deposits over 12,000 years ago. They were formed by the natural processes of wind and water erosion from Lake Ontario. <a href=""/wps/portal/contentonly?vgnextoid=0519dada600f0410VgnVCM10000071d60f89RCRD#"">More info</a>
<br><br>
<strong>Special Features</strong><br>
BLUE FLAG BEACH - <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=29c1dada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=d969dada600f0410VgnVCM10000071d60f89RCRD#bluffer"">Bluffer's Park Beach</a> typically achieves annual blue flag certification. This international eco-label is awarded to beaches that meet high water quality, environmental and safety standards.<br>
WILDLIFE - Known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>.

<div class=""well"" style=""
    padding: 5px;
    font-size: 15px;
border-bottom: 5px solid #ddd;
""><b class=""label label-danger"">Note</b> The Scarborough Bluffs are made up of several different parks. To visit the waterfront, beach and marina at ""The Bluffs"", please follow Brimley Road South to the Lake. The only public access to the lake is at Bluffer's Park.</div>"
3,3,JAMES GARDENS,park,,Edgehill Rd & Edenbridge Dr,"TTC accessible from Royal York station.  Take the Royal York bus 73 to Royal York Road, walk east on Edenbridge Road.",Etobicoke York,99,,Edenbridge,RD,,,"James Gardens, a former estate on the west bank of the Humber River, is known for its flower gardens, terraced stone pathways beside sparkling spring-fed pools and streams, and mature trees. The park features the historic James Gazebo, along with terraced pathways and the original home ""Red Gables"". Here, you can also find lawn bowling, cross-country skiing, memorial cairn in rose garden, and a scenic lookout over the Humber Valley to downtown Toronto.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>."
4,4,COLONEL DANFORTH PARK,park,,Colonel Danforth Trail & Bonacres Ave,Take the 86 Scarborough Bus to Military Trail cross to south side and walk southwest into the park.,Scarborough,73,,COLONEL DANFORTH,TRL,,,"Colonel Danforth Park can be found northwest of Lawrence Avenue and Meadowvale Road. If you follow the park trail to the northwest, you will find Morningside Park. Go southeast and you will find the Lower Highland Creek Park. This stretch of green space is another gem of a ravine in Toronto featuring the Highland Creek Trail. Wildlife, interesting plants and Highland Creek make this a wonderful walk in the east end.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Good spot to watch the fall salmon run up the Highland Creek."
5,5,DERRYDOWNS PARK,park,,Grandravine Dr & Ollerton Rd,,North York,222,,GRANDRAVINE,DR,,,Derrydowns Park is a 28 hectare park following the Black Creek ravine as it meanders southward. At the North end of the park Finch Avenue separates it from the Black Creek Parkland. A trail travels the length of the park from Finch to Grandravine Drive where it connects to Northwood Park.  The park has parking at Finch Ave and features a fire pit.
6,6,MARIE CURTIS PARK,park,,,,Etobicoke York,2,,FORTY SECOND,ST,,,"In the farthest southwest corner of Toronto you will find Marie Curtis Park. This Park is a great destination for a day of fun with family and friends. It's named after the Longbranch Reeve (a small village Mayor) Marie Curtis and is one of the few beaches in North America named after a female community leader. This park was created in the late 1950's to help control flooding after Hurricane Hazel nearly swept local homes in the area out into Lake Ontario. Throughout this park you can find an abundance of wildlife and native plants. There is a playground, wading pool, a public swimming beach, a dog off-leash area, picnic spots and walking trails including a connection to the Waterfront Trail. You will always find something to do at Marie Curtis Park.
<br><br>
<strong>Special Features</strong><br>
SCENIC VIEW - Great place to watch a sunrise.<br>
WILDLIFE - Good spot to watch the fall salmon run up the Etobicoke Creek, and for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>. A popular place to watch migrating birds in fall.
<br><br>
<div class=""well"" style=""
    padding: 5px;
    font-size: 15px;
border-bottom: 5px solid #ddd;
"">
  
  <div class=""alert alert-primary"" style=""
    margin-bottom: 0px;
"">Lakeview Waterfront Connection: Along the Mississauga shoreline, the Region of Peel and Credit Valley Conservation are planning a naturalized conservation area, adjacent to Marie Curtis Park, that will create a hub for passive waterfront recreation, and a spot for wildlife migration.  The new greenspace will connect Marie Curtis park to the Inspiration Lakeview lands.  City of Toronto Parks Staff are providing input into the design of the new greenspace and the interface with Marie Curtis Park.<br><br>

For more information about this project, please visit <a href=""http://lakeviewwaterfrontconnection.ca/"" target=""_new"">http://lakeviewwaterfrontconnection.ca/</a>.

  </div>
</div>
<hr/>"
7,7,BROADLANDS COMMUNITY CENTRE,crc,Fully Accessible,,"Travel to Eglinton Station.  Board the 54A Lawrence East.  Travel to Railside W Farside.  Walk north on Underhill Dr, then East on Broadlans and then North East on Castlegrove to 19.",North York,19,,CASTLEGROVE,BLVD,,M3A 1K9,"A small community centre located in the DVP(Don Valley Parkway) and Lawrence Avenue East area in a residential community. Programs are offered for preschoolers, children, adults and older adults. Rooms can also be permitted by groups or individuals."
9,9,EGLINTON FLATS,park,,Emmett Ave & Eglinton Ave W,,Etobicoke York,101,,EMMETT,AVE,,,"Eglinton Flats includes three of the four corners surrounding the Jane and Eglinton intersection. The fourth corner is the City run Scarlett Woods Golf Course. The area, built on the Humber River Floodplain, was owned and farmed by the Scarlett family in the mid 1800's. It was later turned into a market garden that was flooded out by Hurricane Hazel in 1954. As part of a new floodplain plan the area was turned into parkland. Eglinton Flats is a sports focused park with six soccer fields, four field hockey pitches, a rugby field, a football field and winterized tennis courts. It is also home to a local community garden and playground. In the northeast corner of the park you will find two cricket pitches. The park is a popular place to spend time through the spring, summer and fall.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
10,10,ETIENNE BRULE PARK,park,,Crosby Ave & Warren Cres,,Etobicoke York,13,,CROSBY,AVE,,,"Etienne Brule park is a historically significant piece of land. It was named after Etienne Brule, the first French explorer to venture beyond the St. Lawrence River into Upper Canada (Ontario). The Humber River and its shores along Etienne Brule park were once used as a major trade route by the Aboriginal Peoples of the area. It is a beautiful park stretched out along the Humber River starting near the Old Mill and winding north to the bend in the River around the Baby Point neighbourhood. Within this park you will find interpretive signage with information about the history of the area and it's traditional uses. You will also find a ball diamond, a great hiking trail and lovely spots for a small picnic along the way. Etienne Brule Park is the centre point between the Humber River, Old Mill and Marshes and the Lambton House Hotel and Lower Humber River Discovery Walks.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Good spot to watch the fall salmon run up the Humber River, and also known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
11,11,G. ROSS LORD PARK,park,,,,North York,4801,,DUFFERIN,ST,,,"Whether you're a nature or sports enthusiast you'll find something fun to do in G. Ross Lord Park. Over four kilometres of trails, two cricket pitches, a dog off-leash area, three soccer fields, picnic sites and a fire pit can be found within the parks boundaries. It was created in 1972 to help with flood control in the area and named after Dr. G. Ross Lord, former Chairman of the Toronto and Region Conservation Authority. Trails are fully accessible and groomed in the winter for cross-country skiing, weather permitting. There are a number of naturalization projects in the works to help support local wildlife and create a healthier park. This park is a great spot for wildlife and bird watchers alike.

<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing.</a>"
12,12,CALEDONIA PARK,park,,Caledonia Rd & Lawrence Ave W,,North York,1141,,CALEDONIA,RD,,,"A 11.5 hectare park at Caledonia Road and Lawrence Avenue West featuring two cricket pitches with a practice wicket, a lit ball diamond, a multipurpose sports field and sand volleyball courts. Parking is available and accessible from Caledonia Road.
<br><br>
<strong>Special Features</strong><br>
SCENIC VIEW - East side of the soccer/cricket pitch is a great place to watch a sunset."
13,13,ADAM BECK COMMUNITY CENTRE,crc,Partially Accessible,,Travel to Victoria Park Station.  Board the 12 Kingston Road and travel to Woodale.  Walk west on Woodale to 79 Lawlor Ave.,Toronto East York,79,,LAWLOR,AVE,,M4E 3L8,"Adam Beck Community Centre is a shared use facility. We offer fun filled programs for all ages including birthday parties packages & community special events. Also, there is limited space available for community group & private permits."
14,14,GUILDWOOD INN GARDENS,Other,,Guildwood Pky & Navarre Cres,,Scarborough,201,,GUILDWOOD,PKWY,,,
15,15,HOME SMITH PARK,park,,Dundas St W & Old Dundas St,,Etobicoke York,4101,,DUNDAS,ST,W,,"Home Smith Park is named after an Etobicoke Lawyer, Robert Home Smith. He purchased the former King's Mill and turned it into the Old Mill Inn we find today. The park runs along the west side of the Humber River between Lambton House Hotel and the Old Mill Inn. This park is considered a historically significant area due to its former use as a trade route by the local Aboriginal Peoples. Home Smith Park is an excellent spot for wildlife viewing with plenty of waterfowl, songbirds and forest critters. It's also a great spot to view salmon swimming up the Humber River to spawn each fall. Home Smith Park is fully accessible with a paved trail and a number of pleasant picnic areas.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Good spot to watch the fall salmon run, up the Humber River."
16,16,CASSANDRA PARK,park,,Cassandra Blvd & Wallingford Rd,,North York,230,,CASSANDRA,BLVD,,,A park near Victoria Park Avenue and York Mills Road featuring four lit outdoor tennis courts with clubhouse and a children's playground. The park is home to the Parkway Valley Tennis Club.
17,17,ANNETTE COMMUNITY RECREATION CENTRE,crc,Fully Accessible,,From Jane station take the 26 Dupont bus and From Runnymend Station take the 71 Runnymede North bus.,Etobicoke York,333,,ANNETTE,ST,,M6P 1R3,"Annette Community Recreation Centre is a recently renovated urban community centre serving the ""Junction"" and the surrounding community. Facilities include a swimming pool, weight room, dance studio and several multipurpose rooms and a gymnasium. The pool and facilities are fully accessible with separate special needs washroom/changing facility, pool lift and facility elevator.<br><br>
 
Programming takes place 7 days a week and facility rental inquires for private functions are welcome."
18,18,MACPHERSON AVENUE PARKETTE,park,,Macpherson Ave & Avenue Rd,,Toronto East York,205,,MACPHERSON,AVE,,,
19,19,ROSETTA MCCLAIN GARDENS,park,,,TTC accessible from Victoria Park station.  Take the Kingston Road East bus 12.,Scarborough,5,,GLEN EVEREST,RD,,,"Formal gardens with specially designed braille signage, raised planters, varied texture pathways and ramps to accommodate visitors of varied abilities. The park is filled with rose gardens and a rock fountain surrounded by a pergola. It has spectacular views of Lake Ontario from the top of Scarborough Bluffs. <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0519dada600f0410VgnVCM10000071d60f89RCRD"">More info</a>.<br /><br />
The bluffs can be viewed safely from this park anywhere behind the chain link fence.<br /><br />
No dogs allowed.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Popular place to watch migrating birds in fall."
20,20,ALEXANDER STREET PARKETTE,park,,Alexander St & Yonge St,,Toronto East York,16,,ALEXANDER,ST,,,
21,21,BALMY BEACH COMMUNITY RECREATION CENTRE,crc,Partially Accessible,,Travel to Queen Station. Board the 501 Queen eastbound and travel to Beech. Walk north to 14 Pine Ave,Toronto East York,14,,PINE,AVE,,M4E 1L6,"Balmy Beach is a shared use facility. We offer fun filled programs for all ages including community special events. Also, there is limited space available for community group & private permits."
22,22,ROWNTREE MILLS PARK,park,,Rowntree Mill Rd & Emily Ave,,Etobicoke York,155,,ROWNTREE MILL,RD,,,"This 92 hectare park along the banks of the Humber River between Finch Avenue West and Steeles Avenue West was named Rowntree Mills Park in 1969 in honour of Joseph Rowntree. Joseph Rowntree was a pioneer in north Etobicoke village of Thistletown and established two mills on the banks of the Humber River. In 1843 he built a sawmill on the east bank of the river. Five years later, he built a grist mill on the west bank. His mills were known as the ""Greenholme Mills"" and operated until the end of the nineteenth century."
23,23,MAHER CIRCLE PARKETTE,park,,Maher Ave & Gilmour Ave,,Etobicoke York,,,MAHER,AVE,,,
24,24,BEACHES RECREATION CENTRE,crc,Partially Accessible,Williamson Rd & Hambly Ave,Travel to Main Street Station.  Board the 64 Main and travel to the farside of Williamson.  Walk west to 6 Williamson Rd,Toronto East York,6,,WILLIAMSON,RD,,M4E 1K5,Beaches Recreation Centre is the centre of the Beaches community. Preschool and school-aged programs as well as fitness for adults are the mainstays of the program schedule.
25,25,DAVID APPLETON COMMUNITY CENTRE,crc,Fully Accessible,,Travel to Jane Station.  Board the 35C Jane and travel to Pritchard.  Walk east to 33 Pritchard Ave.,Etobicoke York,33,,PRITCHARD,AVE,,M9N 1T4,"As the full name suggests, the David Appleton Community Recreation Centre and Syme 55+ Centre are two centres housed under one roof. Syme 55+ Centre is a room located within the David Appleton building which caters to seniors. It offers a wide variety of programming for older adults in the neighbourhood. Recreational activities take place weeknights and on the weekends. The room is not intended for large functions or activities involving alcohol. There are table and chairs to accommodate groups of 40 or less. Limited onsite parking is available, with street parking as an option."
26,26,SERENA GUNDY PARK,park,,Rykert Cres & Thursfield Cres,,North York,134,,RYKERT,CRES,,,"<strong>Special Features</strong><br>
WILDLIFE - Listed as a top spot to see birds in Toronto in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>."
27,27,BEDFORD PARK COMMUNITY CENTRE,crc,,,Travel to Lawrence Station.  Exit station and Walk north on Yonge to Ranleigh.  Walk East to 81 Ranleigh Ave.,North York,81,,RANLEIGH,AVE,,M4N 1X2,"Bedford Park Community Centre is a shared-use facility located in the Yonge Street & Lawrence Avenue East area. Bedford Park is not a large centre, but it does offer a wide variety of programs for the community. Throughout the Fall, Winter and Spring, Bedford Park offers preschool programs, older adult programs, fitness programs, sports programs and swimming lessons. During the summer months, Bedford Park offers summer camps, fitness classes, an older adult drop-in program and swimming lessons. Some programs operate from St. Leonard's Church."
28,28,SUNNYBROOK PARK,park,,,Take the 54 Lawrence East or 51 Leslie Bus to Leslie Street at Eglinton North Side Stop. Walk a few metres north to the park entrance on the west side of Leslie.,North York,1132,,LESLIE,ST,,,"Sunnybrook Farm was the 154 hectare country estate of Joseph Kilgour in the late 1800s. It is located north of Leaside and south of the Bridle Path areas of the city. After Kilgour's passing, his wife Alice donated Sunnybrook Farms to the city in 1928 to be used as a park. The Kilgour barns were preserved and currently serve as a public riding school. The Metropolitan Police stabled here up until their move down to the stables at Exhibition Place in 2005. The park is home to many bike trails, dog parks, and Sunnybrook Stables with the fields now used for sports and recreation.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Listed as a top spot to see birds in the City's Birds of Toronto <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=766a036318061410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Biodiversity Series booklet</a>.<br>
ENVIRONMENTALLY SIGNIFICANT AREA - Glendon Forest provides a high quality forest habitat, dominated by sugar maple, eastern white pine, American beech and eastern hemlock trees in the West Don River Valley  The wetland provides critical habitat for snapping turtles, Great Blue Herons and Red-winged Blackbirds. It is designated as an <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=68fd811f23248410VgnVCM10000071d60f89RCRD"">Environmentally Significant Area</a>, because of its plant and animal diversity.  
"
29,29,TAYLOR CREEK PARK,park,,,,Toronto East York,260,,DAWES,RD,,,"Come here to take in and appreciate the outdoors.  Take a hike or bring your bike in the spring, summer and fall to use one of the many paths that give a route to follow through this park.   Take your time and notice the trees, plants and wildlife that are found in Taylor Creek Park.   This is a linear park that begins at Don Mills Road in the west and wanders to Dawes Road in the east. There are vehicle parking lots at either end of the park.   
For more recreation activities, visit the nearby <a href=""http://www1.toronto.ca/parks/prd/facilities/complex/421/index.htm"">Stan Wadlow Park</a>
"
30,196,BOB ABATE COMMUNITY RECREATION CENTRE,crc,Partially Accessible,Montrose Ave & Bloor St W,Travel to Christie Station.  Walk west to Montrose and then south to number 485.,Toronto East York,485,,MONTROSE,AVE,,M6G 3H2,"Nestled on the south side of Bloor Street at the foot of Christie Street a stone throw from historic Christie Pitts Park, Bob Abate Community Recreation Centre is conveniently attached to the Bickford Learning Centre. A host of recreation programs and services are offered here for families and preschoolers."
